epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.79492,1.29355,3.02983,1.20942,0.00328,1,0.61354,0.32946,1.36215,2.74954,1.1991,0.00053344,0.00053344,0.00053344
2,14.1233,1.23126,2.17579,1.18186,0.67073,0.64249,0.73969,0.34465,1.62099,2.1938,1.38629,0.00107282,0.00107282,0.00107282
3,20.3971,1.29635,1.99397,1.2104,0.65202,0.6322,0.69861,0.28903,1.74696,2.22186,1.48932,0.00160131,0.00160131,0.00160131
4,26.6282,1.3222,1.71783,1.19836,0.78324,0.30645,0.37877,0.15798,2.14404,3.05193,2.02701,0.00161749,0.00161749,0.00161749
5,32.8275,1.29459,1.5276,1.18964,0.81184,0.93594,0.90652,0.44976,1.59261,1.43015,1.3905,0.00160099,0.00160099,0.00160099
6,39.3281,1.28196,1.42019,1.19038,0.92296,0.88551,0.96688,0.50142,1.56555,1.21256,1.3983,0.00158448,0.00158448,0.00158448
7,45.5481,1.27444,1.28131,1.17975,0.95555,0.94387,0.9799,0.50999,1.58519,1.21123,1.40006,0.00156798,0.00156798,0.00156798
8,51.807,1.22699,1.1981,1.15422,0.77423,0.8989,0.85637,0.421,1.61575,1.32914,1.38127,0.00155148,0.00155148,0.00155148
9,58.0478,1.22699,1.10659,1.17406,0.99663,0.98,0.99042,0.51595,1.58736,1.06059,1.38952,0.00153497,0.00153497,0.00153497
10,64.2495,1.19212,1.02803,1.15802,0.97253,0.99,0.99247,0.54744,1.50114,1.12589,1.40349,0.00151847,0.00151847,0.00151847
11,70.461,1.22585,1.01827,1.15955,0.96103,0.95957,0.98747,0.53137,1.57038,0.90808,1.36791,0.00150197,0.00150197,0.00150197
12,76.6867,1.13537,0.93689,1.13032,0.90699,0.9621,0.98151,0.49401,1.6494,0.89285,1.44476,0.00148546,0.00148546,0.00148546
13,82.8717,1.21637,0.9345,1.16859,0.97821,0.94327,0.98549,0.51704,1.62442,0.88525,1.45159,0.00146896,0.00146896,0.00146896
14,89.0711,1.16313,0.90262,1.16079,0.92958,0.93475,0.9455,0.44652,1.77575,0.9841,1.5664,0.00145246,0.00145246,0.00145246
15,95.2623,1.22237,0.90947,1.17632,0.9789,0.97151,0.97639,0.48065,1.74842,0.8071,1.61021,0.00143595,0.00143595,0.00143595
16,101.622,1.1345,0.85551,1.13949,0.98035,0.96064,0.99069,0.52632,1.58843,0.80567,1.44988,0.00141945,0.00141945,0.00141945
17,107.798,1.09414,0.80746,1.10411,0.95543,0.97387,0.98111,0.52022,1.60525,0.77108,1.38112,0.00140295,0.00140295,0.00140295
18,113.991,1.0554,0.77207,1.11507,0.96735,0.96043,0.97504,0.51791,1.63848,0.81197,1.46663,0.00138644,0.00138644,0.00138644
19,120.414,1.13392,0.78113,1.14821,0.9879,0.98,0.99308,0.5642,1.53108,0.67989,1.3623,0.00136994,0.00136994,0.00136994
20,126.91,1.08429,0.74998,1.09165,0.97627,0.98387,0.98397,0.46537,1.77833,0.73143,1.56564,0.00135344,0.00135344,0.00135344
